t v n o
0 -49.430523 0.42456141 0
0.0099999998 -50.638565 0.39795184 1.2288323e-06
0.02 -51.768261 0.37294877 2.2011511e-06
0.029999999 -52.823109 0.34947214 2.9821902e-06
0.039999999 -53.806717 0.32744071 3.618673e-06
0.050000001 -54.72274 0.30677408 4.1444987e-06
0.059999999 -55.574841 0.28739387 4.5845713e-06
0.07 -56.36665 0.26922452 4.9574105e-06
0.079999998 -57.101719 0.25219372 5.276951e-06
0.090000004 -57.783512 0.23623264 5.5537957e-06
0.1 -58.415363 0.22127596 5.796101e-06
0.11 -59.000473 0.20726191 6.0102057e-06
0.12 -59.541897 0.19413216 6.2010872e-06
0.13 -60.042534 0.18183179 6.3726889e-06
0.14 -60.505135 0.17030907 6.5281642e-06
0.15000001 -60.932281 0.15951535 6.6700572e-06
0.16 -61.326416 0.14940494 6.8004365e-06
0.17 -61.689823 0.13993491 6.9209982e-06
0.18000001 -62.024639 0.13106497 7.0331412e-06
0.19 -62.332874 0.1227573 7.1380305e-06
0.2 -62.616398 0.11497645 7.2366402e-06
0.20999999 -62.876957 0.10768915 7.329792e-06
0.22 -63.116177 0.10086422 7.4181812e-06
0.23 -63.335575 0.094472416 7.5024013e-06
0.23999999 -63.536568 0.088486344 7.5829612e-06
0.25 -63.720467 0.082880311 7.6602983e-06
0.25999999 -63.888493 0.077630259 7.7347931e-06
0.27000001 -64.041786 0.072713636 7.8067751e-06
0.28 -64.181404 0.068109304 7.8765324e-06
0.28999999 -64.308327 0.063797474 7.9443189e-06
0.30000001 -64.42347 0.059759587 8.0103564e-06
0.31 -64.527687 0.05597828 8.0748432e-06
0.31999999 -64.621765 0.052437272 8.137954e-06
0.33000001 -64.706444 0.049121313 8.1998442e-06
0.34 -64.782402 0.046016127 8.260653e-06
0.34999999 -64.850266 0.043108333 8.3205059e-06
0.36000001 -64.910637 0.040385403 8.3795139e-06
0.37 -64.964066 0.037835598 8.437778e-06
0.38 -65.011055 0.035447933 8.495389e-06
0.38999999 -65.052078 0.033212107 8.5524307e-06
0.40000001 -65.087578 0.031118477 8.6089767e-06
0.41 -65.117966 0.029158017 8.6650953e-06
0.41999999 -65.143623 0.027322264 8.7208491e-06
0.43000001 -65.164909 0.025603302 8.7762937e-06
0.44 -65.182144 0.02399371 8.831481e-06
0.44999999 -65.195641 0.022486541 8.8864581e-06
0.46000001 -65.205681 0.02107529 8.9412679e-06
0.47 -65.212532 0.01975386 8.9959512e-06
0.47999999 -65.216446 0.018516546 9.0505437e-06
0.49000001 -65.217644 0.017358005 9.1050788e-06
0.5 -65.216339 0.01627323 9.1595884e-06
0.50999999 -65.21273 0.015257536 9.214099e-06
0.51999998 -65.207008 0.014306532 9.2686378e-06
0.52999997 -65.199348 0.013416108 9.3232284e-06
0.54000002 -65.189896 0.012582415 9.3778935e-06
0.55000001 -65.178802 0.011801846 9.4326542e-06
0.56 -65.166214 0.011071026 9.4875277e-06
0.56999999 -65.152252 0.010386795 9.5425321e-06
0.57999998 -65.137039 0.0097461902 9.5976839e-06
0.58999997 -65.120682 0.0091464398 9.6529984e-06
0.60000002 -65.103287 0.0085849473 9.7084876e-06
0.61000001 -65.084953 0.0080592809 9.764166e-06
0.62 -65.065758 0.0075671631 9.8200435e-06
0.63 -65.045792 0.0071064625 9.876132e-06
0.63999999 -65.025124 0.0066751814 9.9324407e-06
0.64999998 -65.003838 0.0062714498 9.9889785e-06
0.66000003 -64.981987 0.0058935168 1.0045754e-05
0.67000002 -64.959641 0.0055397428 1.0102774e-05
0.68000001 -64.936844 0.005208591 1.0160048e-05
0.69 -64.913666 0.0048986236 1.0217579e-05
0.69999999 -64.890137 0.0046084942 1.0275376e-05
0.70999998 -64.866318 0.0043369411 1.0333441e-05
0.72000003 -64.842239 0.0040827831 1.0391781e-05
0.73000002 -64.817947 0.003844915 1.0450401e-05
0.74000001 -64.793472 0.0036223002 1.0509302e-05
0.75 -64.768845 0.003413969 1.0568489e-05
0.75999999 -64.744095 0.0032190129 1.0627967e-05
0.76999998 -64.719261 0.0030365817 1.0687736e-05
0.77999997 -64.694359 0.0028658784 1.07478e-05
0.79000002 -64.669418 0.0027061573 1.080816e-05
0.80000001 -64.644455 0.0025567198 1.086882e-05
0.81 -64.619492 0.0024169115 1.092978e-05
0.81999999 -64.594551 0.0022861203 1.0991041e-05
0.82999998 -64.569641 0.0021637722 1.1052605e-05
0.83999997 -64.544785 0.0020493299 1.1114473e-05
0.85000002 -64.519997 0.0019422905 1.1176645e-05
0.86000001 -64.495285 0.0018421828 1.1239123e-05
0.87 -64.470657 0.0017485657 1.1301905e-05
0.88 -64.446136 0.001661026 1.1364994e-05
0.88999999 -64.42173 0.0015791769 1.1428388e-05
0.89999998 -64.397438 0.0015026558 1.1492087e-05
0.91000003 -64.373268 0.0014311237 1.1556092e-05
0.92000002 -64.349236 0.0013642629 1.1620401e-05
0.93000001 -64.325348 0.0013017757 1.1685015e-05
0.94 -64.301605 0.0012433835 1.1749933e-05
0.94999999 -64.278015 0.0011888255 1.1815154e-05
0.95999998 -64.254585 0.0011378571 1.1880677e-05
0.97000003 -64.231308 0.0010902499 1.1946503e-05
0.98000002 -64.208199 0.0010457892 1.2012629e-05
0.99000001 -64.185265 0.0010042746 1.2079055e-05
1 -64.162491 0.00096551818 1.2145779e-05
1.01 -64.139893 0.00092934392 1.22128e-05
1.02 -64.11747 0.00089558709 1.2280118e-05
1.03 -64.095215 0.00086409337 1.2347731e-05
1.04 -64.073151 0.00083471829 1.2415638e-05
1.05 -64.051254 0.00080732646 1.2483837e-05
1.0599999 -64.029541 0.00078179128 1.2552327e-05
1.0700001 -64.008003 0.00075799401 1.2621107e-05
1.08 -63.986649 0.00073582365 1.2690175e-05
1.09 -63.965473 0.00071517605 1.2759529e-05
1.1 -63.944481 0.00069595379 1.2829169e-05
1.11 -63.923664 0.00067806564 1.2899093e-05
1.12 -63.903027 0.00066142622 1.2969298e-05
1.13 -63.882565 0.00064595544 1.3039785e-05
1.14 -63.862286 0.0006315785 1.311055e-05
1.15 -63.842178 0.00061822514 1.3181591e-05
1.16 -63.82225 0.0006058297 1.3252909e-05
1.17 -63.802498 0.00059433072 1.3324502e-05
1.1799999 -63.782917 0.00058367051 1.3396367e-05
1.1900001 -63.763508 0.00057379523 1.3468501e-05
1.2 -63.74427 0.00056465436 1.3540906e-05
1.21 -63.725204 0.00055620057 1.3613579e-05
1.22 -63.706303 0.00054838957 1.3686516e-05
1.23 -63.687572 0.00054117996 1.3759718e-05
1.24 -63.669006 0.00053453288 1.3833182e-05
1.25 -63.6506 0.000528412 1.3906907e-05
1.26 -63.632362 0.00052278326 1.3980892e-05
1.27 -63.614281 0.00051761477 1.4055133e-05
1.28 -63.596359 0.00051287678 1.412963e-05
1.29 -63.578598 0.0005085413 1.4204383e-05
1.3 -63.560989 0.00050458213 1.4279387e-05
1.3099999 -63.543533 0.00050097489 1.4354641e-05
1.3200001 -63.526234 0.00049769651 1.4430146e-05
1.33 -63.509083 0.00049472559 1.4505898e-05
1.34 -63.492081 0.00049204211 1.4581895e-05
1.35 -63.475224 0.00048962713 1.4658137e-05
1.36 -63.458515 0.00048746305 1.4734622e-05
1.37 -63.441948 0.00048553344 1.4811348e-05
1.38 -63.425526 0.00048382283 1.4888313e-05
1.39 -63.409241 0.00048231677 1.4965516e-05
1.4 -63.393097 0.00048100171 1.5042955e-05
1.41 -63.377087 0.000479865 1.512063e-05
